,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,-0.07179602579666866,0.47001291237475956,0.5970874085281078,0.5844065302758545,-0.07070434686519067
Dubai,0.4290392622560434,0.08554812442753654,-0.5130804364062067,-0.45469155117432203,-0.2280146141277897
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,-0.6809544923720433,-0.05428767328632316,0.006812370351015271,0.47552114271651863,-0.5563308582793518
VLCC Single Voyage Fixtures,-0.0052809706405017075,-0.4122921582251238,0.17327630247799833,0.8459156188020209,-0.18968386763686487
UP.Africa,0.258984505888316,0.15734212632577096,0.7596087390855104,0.4748824046867661,-0.44133413814967054
