,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,1.0,1.0,-1.0,-1.0,-1.0
Dubai,-1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,1.0,-1.0,-1.0,-1.0,1.0
VLCC Single Voyage Fixtures,1.0,-1.0,-1.0,1.0,1.0
UP.Africa,1.0,-1.0,-1.0,1.0,-1.0
