,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,-0.8570831719036632,-0.7380094398747331,-0.009879832048053592,-0.009879832048053592,-0.6994978836583341
Dubai,-0.06307373890813613,0.27831711967230593,0.6104302876924316,0.6104302876924316,0.05193708568005396
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,0.3239603640050419,0.3172622714604075,0.8196782316462304,0.8196782316462304,0.15612619731721536
VLCC Single Voyage Fixtures,0.24372885862193253,0.6735085755638426,0.33290806868965606,0.33290806868965606,0.48967382840883594
UP.Africa,0.5100108089932617,0.37865120496272214,0.3533175721206271,0.3533175721206271,0.33311653506538336
