,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,0.24371266605341635,-0.9032294367981546,-0.2923801494056866,0.8680017167564654,0.7918691423133587
Dubai,0.06598852636414566,0.8228415264811816,0.03823861750931941,-0.9012554422863309,-0.9607309380517315
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,0.17208171470934558,-0.7634490050309032,-0.853391981322072,-0.5382521046962432,0.7959370549581741
VLCC Single Voyage Fixtures,-0.29220580624418685,0.7616867878310075,0.2992148012955168,0.496596419581764,-0.5355343635246599
UP.Africa,0.8297837903157457,-0.2353584317161035,-0.9675305021454259,0.5701600768664123,0.9176784920816445
