,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,0.9696131382935136,0.7616929486557185,-0.6790100558652998,-0.9648251017740613,-0.9305294381520984
Dubai,-0.9366466712922974,-0.9914775871796887,-0.8960710649690574,0.3478058790452633,0.6469163170972404
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,0.6544260480889051,0.7202204264481353,0.8894513353159109,0.9677938940648579,-0.12563035601810837
VLCC Single Voyage Fixtures,0.3996992305361452,-0.37602259594969445,0.5759587099001181,0.6767861594726944,0.5845245699247146
UP.Africa,0.6550605799720404,0.9568268932539526,-0.2466634166744706,-0.7030351199047483,-0.9347970491082694
