,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,0.723559284203794,-0.3731764673761946,-0.7792991014860341,-0.818211672820523,-0.6253769406819039
Dubai,-0.8638800256347064,-0.9122203271720272,-0.9015228278092213,0.050466207855908406,0.6684002004927642
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,0.4763124577345242,0.5720078123389473,0.4049479450383464,-0.20046895939878534,0.402876808578561
VLCC Single Voyage Fixtures,-0.5594186714248942,0.018223984384520633,-0.4281380025816649,0.3548317553148363,-0.1666201803546218
UP.Africa,0.8861123384390548,0.8374773515918155,0.26569367704921404,-0.4433239742392346,-0.9434294616691132
