,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,-0.26935661454642795,0.0011437981363773561,0.28401960370692464,0.14280505448564543,-0.08612248390177196
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
UP.Africa,0.20026917354093984,0.22423048835168422,0.17372969311632175,0.07879560573412532,-0.07741804293088997
VLCC Single Voyage Fixtures,0.005239026125611961,0.16709174313468114,0.16640808620681952,0.12122133837514083,0.08789241791582961
Dubai,-0.21786432959606705,-0.22618832490819987,-0.2039604206404079,-0.20300831304558764,-0.2381245694811754
P.Middle East,0.0020788438240953062,0.20140553991866136,0.24521591041698254,-0.15035119674151282,-0.36790169253916105
