,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,-0.058105481829420616,0.03559330602813213,0.035371608741917596,0.018031708093872136,0.05255047840623014
Dubai,-0.4277935096663493,-0.10229918610664043,0.24512585245974838,0.3003234953345823,0.49269008089941896
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,0.15681795629345427,-0.054043774891648855,-0.29718529736813754,-0.33023724601134813,-0.504279492419594
VLCC Single Voyage Fixtures,0.1996699423450739,0.33928596367504615,0.4136710717828703,-0.018732485508813217,-0.06211644944250868
UP.Africa,0.16221930215713004,-0.01833731716063217,-0.05982507849057036,-0.27228673902286543,-0.3916164999520176
