,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,-0.20719455279218335,0.029658256299737118,0.8309682398904956,0.7232732249352616,0.24112213209307917
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
UP.Africa,-0.40690049102986825,-0.46385627195513207,-0.5304057074371669,-0.11927459812744405,-0.030442266627585323
VLCC Single Voyage Fixtures,-0.526875910198879,-0.2195447712962112,-0.36980293164197764,0.16810392944813765,-0.3395099731444997
Dubai,-0.26015521688117366,-0.34975760461617034,-0.35642535366879025,-0.5113380992719514,-0.4012981634228112
P.Middle East,0.16157270853085728,0.5102919112295548,0.7507494688154767,-0.27213100002843643,-0.368162645016409
