,lag 0,lag 1,lag 2,lag 3,lag 4
P.FSU,-0.5579458325089323,-0.31468884346087667,0.062315812175092064,0.4846564150554443,0.4223140770470475
Dubai,-0.17964996246159767,-0.4749695676390369,-0.4145594148910332,-0.3282683443315533,-0.12621134168448436
Dollar_per_MT,1.0,1.0,1.0,1.0,1.0
P.Middle East,0.40199586762978284,0.37909335945188855,0.22007308485338917,0.02218091210708383,-0.1890649274268642
VLCC Single Voyage Fixtures,-0.012663631445363052,-0.28454706157503773,0.20361681008022217,0.17654343713678702,-0.1459042966519266
UP.Africa,-0.1373354931582449,-0.30591049795309716,-0.5052877009306302,-0.6502603936663873,-0.5940375028450808
